name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Dragon leader hatchling,4,Creature - Dragon (2/1),"
Flying
5: up to 2 target attacking creatures get +1/-1 until end of turn for each card in your graveyard, where X is an opponent's life total and those creatures get +3/+0 until end of turn
1R: ~this~ deals 3 damage to target creature. If a creature damaged this way would be put into a graveyard this turn, exile it instead. Activate only once per turn.",,,,,,
Split tounge priestess,3BB,Creature - Gorgon Cleric (2/1),"
fear
T: target opponent may return up to two creature cards from his or her graveyard to hand
T: Assemble a Contraption
Sacrifice ~this~: target Plains gains ''All artifact creatures gain poisonous 2'' until end of turn",,,,,,
Swift Footboy,4RR,Creature - Human Warrior (2/2),"
3, T: target creature with power 3 or more gets +4/+0 until end of turn
first strike",,,,,,
Colourful Storm,WUBRG,Instant,"
up to X target untapped lands gain ''activated abilities that aren't mana abilities cost all players up to 3 less to cast'' until end of turn, where X is the number of cards in your hand",,,,,,
Devious Prison,2U,Enchantment," Whenever an opponent casts a instant spell, you may Tap an untapped black permanent you control. If you do, copy target white Generated spell and you may choose new targets for the copy 
spells and activated abilities that aren't mana abilities cost your opponents an additional 1 to cast",,,,,,
Celebrated return,4WWW,Tribal Enchantment - Knight,"
Discard a card, Discard a card: you gain 1 life
All blue creatures can block any number of creatures
When ~this~ enters the battlefield, you may return a nonwhite creature card from your graveyard to the battlefield","--Nature dances bigger than even the pen
– Unknown",,,,,
Grab by the collar,2UUU,Sorcery,"
you may tap or untap target permanent or library you control",,,,,,
Golem support ring,2U,Artifact,"
Whenever a creature is put into a graveyard from the battlefield, all Golems gain ''Discard a card: all creatures with toughness 3 or less get +4/+2 until end of turn'' until end of turn
When ~this~ leaves the battlefield, up to two target green creatures get -6/+6 until end of turn",,,,,,
Deathless Merrow Slurker,BB,Creature - Zombie Merfolk (2/1),"
fear","--Her beast gazes more insidiously than the rock
– Clikygi Thuiseslit, Silver Knight, Novice Warrior of the Order of the Forgotten Grove",,,,,
Call the mage council,2U,Sorcery,"
Choose one: untap all green permanents; or you put a 3/4 blue Wizard creature token onto the battlefield
Entwine 2(W/U)(W/U)",,,,,,
Pond life drain,1GGG,Enchantment,"
Sacrifice a Swamp, Pay 1 life: target player gains 1 life",,,,,,
Draconic Rage,R,Sorcery,"
Choose one: clash with an opponent. If you win, ~this~ deals 4 damage to target creature or player otherwise ~this~ deals 1 damage to target create or player; or target Dragon gains haste until end of turn; or destroy target untapped artifact",,,,,,
Preaching a materialess lifestyle,4W,Instant,"
destroy target artifact
Haunt
When the creature this haunts is put into a graveyard from the battlefield, destroy target artifact
","--Her throne protects greater than the bun
– Feroz",,,,,
Thrashing Bear,3GG,Creature - Beast (2/1),"Tap an untapped permanent you control, Sacrifice ~this~: destroy target artifact or enchantment 
Tap an untapped Mountain you control, Pay 2 life: you may return up to one artifact cards from your graveyard to the battlefield",,,,,,
Strong Fertilizer,1GG,Enchantment,"
green spells cost all players up to 1 less to cast",,,,,,
Charged Stoneheap,RG,Creature - Elemental Shaman (2/3),"
Whenever ~this~ blocks a creature, target player may Pay 4 life. If that player doesn't, copy target red instant spell with converted mana cost X or less, where X is your life total and you may choose new targets for the copy
haste",,,,,,
Recovering the burned land,2G,Instant - Generated,"
Return target land card from your graveyard to hand",,,,,,
Unintended blessing,(B/R),Sorcery - Arcane,"
regenerate up to one target white creatures and put a +1/+1 counter on those creatures
Splice onto sorcery: 3BBB","--Humanity is greater than even the beautiful minister
– Oulathaich Yoalia Wiseeye",,,,,
Extract from DNA,4GGG,Instant,"
you may return a creature card from your graveyard to hand",,,,,,
Mishra's Small Golem Workshop,,Land,"
T: add 2 to your mana pool, use only to cast golem spells and activate golem abilities",,,,,,
Look through the crystal ball,4G,Sorcery - Arcane,"
draw four cards, then discard a card
Scry 4",,,,,,
Scrapyard Clustercannon,B,Enchantment - Aura,"
Enchant land
Discard a land card: sacrifice any number of artifacts. ~this~ deals that much damage to each creature
Enchanted land gains protection from white",,,,,,
Inflict the pending pain,1BB,Sorcery,"two target creatures with persist get -4/-2 until end of turn
",,,,,,
Sosoven Dinenamew,2R,Planeswalker - Sosoven (Loyalty 4)," +3: ~this~ deals 1 damage to target creature for each spell cast this turn. This damage can't be prevented. Creatures damaged this way can't be regenerated this turn 
-4: ~this~ deals 2 damage to each black creature. This damage can't be prevented 
-8: you reveal cards from the top of your library until you reveal a sorcery card, put that card into hand, and shuffle the rest into your library.",,,,,,
Gate to the land of beasts,3G,Tribal Instant - Beast,"
target player may search his or her library for a creature card, reveal it, and put it into his or her hand. If that player does, that player shuffles that library afterwards.",,,,,,
Bait n' Switch,U,Instant,untap up to one target Wizards and return a permanents to their owner's hand,,,,,,
Equip the mob,RGG,Instant - Arcane,"
up to three target creatures get +2/+0 until end of turn",,,,,,
Devilish Scrapyard Tutor,2B,Sorcery,"
Choose one: up to four target artifact creatures get -3/-3 until end of turn; or you may search your library for a card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards.",,,,,,
Hookus Interruptor,2RG,Creature - Human Shaman (2/3),"
spells and activated abilities that aren't mana abilities cost any player 1 more to cast","--Humanity surprises the grandest north
– Kotaku",,,,,
Split tounge mountain guide,GGG,Creature - Snake (3/1),"
Whenever ~this~ becomes blocked, clash with an opponent. If you win, untap target Snake
All permanents are Mountain lands in addition to their other types",,,,,,
Revoluzer from the Ritsch Clan,2B,Creature - Rat Cleric (3/2),"
When ~this~ enters the battlefield, regenerate all nongreen creatures
Whenever a creature is dealt damage, you may Sacrifice a creature with toughness 5 or more. If you don't, clash with an opponent. If you win, target creature with both power and toughness 1 or less gets +X/+X until end of turn, where X is the sacrificed creature's power and you sacrifice a blue creature. clash with an opponent. If you win, Return target creature card from your graveyard to hand",,,,,,
Cloudless Nightsky,BBB,Instant,"
Choose one: sacrifice any number of permanents. target player loses that much life; or destroy target nonblack creature. It can't be regenerated.; or all Clerics get -2/-2 until end of turn",,,,,,
Duplicate by simulation,3,Instant,"
copy target activated ability and you may choose new targets for the copy",,,,,,
Mist step free form,U,Sorcery,"
Choose one: return target creature to its owner's hand; or until end of turn, if a creature would be put into a graveyard from the battlefield, you may Sacrifice a Wizard. If you do, exile it instead",,,,,,
Cloudrider sellsword,1W,Creature - Kithkin Knight (1/1),"
flying",,,,,,
Aquaeious Vandalizer,UR,Creature - Human Minion (3/1),"All Minions can't block 
All white creatures can't block",,,,,,
Golem spy,(U/B),Artifact Creature - Golem (1/2),"
Whenever ~this~ deals damage, you may Sacrifice a basic land. If you do, attach target Equipment to target creature with toughness X or more, where X is the number of poison counters you have. (Control of that Equipment doesn't change.)
All creatures with power 2 or more gain rampage 2
flying",,,,,,
Pinning mist,1WW,Enchantment,"
As long as any player controls no basic lands, As long as an opponent controls a permanent, All permanents are white
2: ~this~ deals 4 damage divided as you choose among any number of target creatures with both power and toughness 3 or more","--The hugest tool delays stronger than the aspirational arm
Yet his texture confuses more beautifully than even the mightiest jellyfish shall
– Shining of Thunderhead",,,,,
Lobbo the Weeb,3RR,Creature - Goblin Samurai (1/2),"
bushido 3
Sacrifice a Forest: put a 3/3 red Goblin creature token onto the battlefield
All permanents gain ''When ~this~ leaves the battlefield, all artifact creatures get +2/+0 until end of turn''",,,,,,
Shoko Ethuw,2W,Planeswalker - Shoko (Loyalty 1),"
+1: search your library for a land card and put it into the battlefield, then shuffle your library
-4: search your library for a land card and put it into the battlefield, then shuffle your library
-4: regenerate two target Elves",,,,,,
Coldwater Cutthroat,UR,Zombie Rogue (2/3) ,"When ~this~ enters the battlefield, you may pay X black mana, where X is the number of creatures with total power and toughness 4 or more on the battlefield. If you don't, target nonlegendary enchantment gains ''3BB: destroy target artifact creature'' until end of turn 
(U/B)(U/B), Tap an untapped permanent you control: ~this~ deals 2 damage to each of two target creatures or players. When those creatures regenerates this turn, flip ~this~. Whenever a attacking creature is dealt damage, all lands are black (This effect doesn't end) ",,kami,Hungry Foreteller,,Legendary Creature - Zombie Rogue (7/4),"3B, Sacrifice ~this~: sacrifice any number of permanents. destroy up to that many target artifact creatures 
T: any number of target Zombies get -2/-5 until end of turn When ~this~ leaves the battlefield, return target permanent to its owner's hand"
Deathpunch tradeward,3BB,Tribal Enchantment - Aura Rogue,"
Enchant permanent you control
Enchanted permanent gains ''Pay 4 life: ~this~ deals 2 damage to each of two target creatures''",,,,,,
Drop the turtle ,G,Tribal Sorcery - Beast,"
destroy target creature with flying","--A single word proves better than the cent
– Shacha Eixeth, Lord of the Desert",,,,,
Two for me none for thee,(U/B)(U/B)(U/B),Instant,"
Choose one: draw two cards; or return target permanent to its owner's hand
Entwine X blue mana, where X is an opponent's life total",,,,,,
Seize your resistance,WU,Enchantment,"
Whenever one or more creatures becomes blocked, ~this~ deals 1 damage to target attacking or blocking creature
W, Sacrifice ~this~: Return target enchantment card from your graveyard to hand",,,,,,
Reborn ,1BB,Sorcery,"
Return target creature card from your graveyard to the battlefield
",,double,Give me that,1RR,Artifact,"When ~this~ enters the battlefield, attach target Equipment to target black creature. (Control of that Equipment doesn't change.)"
Killer Instinct,B,Creature - Horror (1/1),"
1, Sacrifice a untapped land: target blocking creature gets -3/-3 until end of turn. Activate this ability only at the end of combat and only once per turn. (End of combat is after combat damage is dealt) ",,,,,,
Jousting Gull,3W,Creature - Bird (2/1),"
Flying
vigilance
4: clash with an opponent. If you win, ~this~ gains flying until end of turn","--A single mice sings a tiger yet messes up faster than even the grandest dock shall
– Vitenka",,,,,
Need for speed ,5RR,Enchantment,"
3R, Tap an untapped nonlegendary land you control: put a speed counter on target land
3R: put a speed counter on target creature
Discard a card: put a speed counter on target creature
Each creature with a speed counter on it can't be blocked by more than one creature
Threshold - If you have seven or more cards in your graveyard, All untapped basic lands gain ''Pay 1 life, Pay 1 life: ~this~ deals 7 damage to each creature and player''",,,,,,
Duplicationmage Familiar,2U,Creature - Elemental (2/1),"
All green creatures are blue
Sacrifice ~this~: put three 1/1 blue Wizard creature tokens onto the battlefield
T, sacrifice two Wizards: copy target spell or ability and you may choose new targets for the copy
Whenever a land becomes the target of a spell or ability, copy target spell or ability and you may choose new targets for the copy","--Nature branches stronger than the best suit
Because a single border can defeat the snail
– Crucius of Thunderhead",,,,,
Apparition Hunter,B,Creature - Vampire (1/1),"
Flying
Pay 3 life: put two 1/1 white Spirit creature tokens onto the battlefield
Sacrifice a Spirit: clash with an opponent. If you win, ~this~ deals 7 damage to target player with 1 life or less
At the beginning of each opponent's upkeep, target Spirit gets -2/-2 until end of turn and ~this~ deals 2 damage to that creature",,,,,,
The Sun is a deadly Laser,WUBRG,Sorcery,"
destroy target artifact",,,,,,
Mending Kit,1GG,Artifact,"
Whenever you cast a Equipment spell, ~this~ gains protection from instant spells until end of turn
When ~this~ enters the battlefield, put a +1/+1 counter on target creature
Sacrifice a basic land: target creature gets +4/+4 until end of turn
","--Even the wisest feather twists a single birthday but is mightier than even the best hobbies
Although her beggar covers more beautifully than even the grandest carpenter
– Unattributed (questionable)",double,Protective Circle,2GGGG,Enchantment,"GGGG, Pay 4 life: put a warp counter on target creature 
4G, Sacrifice a creature: each creature with a warp counter on it can't be the target of activated abilities until end of turn"
Amateur Copifier,UU,Creature - Vedalken Wizard (3/1),"
When ~this~ enters the battlefield, you may pay U. If you do, copy target spell or ability and you may choose new targets for the copy (Good luck with that, it doesn't have flash, y'know.)",,,,,,
Mechwing Saboteur,UB,Artifact Creature - Faerie Wizard (2/1),"
Flying
all players may cast Generated spells by paying ''4'' rather than paying their mana cost
All artifact creatures can't be blocked
1U, Sacrifice ~this~: counter target spell",,,,,,
Demoliting Roots,G,Sorcery,"
target land gains ''When ~this~ leaves the battlefield, destroy target artifact. It can't be regenerated.'' until end of turn",,,,,,
Aquiration Ghosti,W,Creature - Spirit (1/1),"
Whenever ~this~ deals combat damage to a player, target opponent may Sacrifice a basic land. If that player doesn't, clash with an opponent. If you win, you reveal cards from the top of your library until you reveal a artifact card, put that card into your hand, and exile the rest.",,,,,,
Lunchbreak,W,Enchantment,"
Sacrifice a Mountain: target creature with first strike gets +2/+2 until end of turn
T, 1W: you gain 1 life","--Her haircut flees the proper animal yet can crush even the pear
– Nursery Rhyme (Trad.)",,,,,
Extinction Fisher,B,Creature - Human Rogue (1/2),"
T, Sacrifice ~this~: up to seven target blue creatures get -1/-3 until end of turn",,,,,,
Kami of Rebirth,1B,Creature - Spirit (1/1),"
Whenever ~this~ deals damage, each player may return a creature card from his or her graveyard to hand",,,,,,
Woodtrappers Bauble,U,Artifact,"
Sacrifice ~this~: draw a card
4, Sacrifice ~this~: ~this~ deals 5 damage to target creature, activate only as a sorcery.
Imprint � When ~this~ enters the battlefield, you may exile a instant card in your hand. (The exiled card is imprinted on this artifact.)
T: the imprinted card's converted mana cost enchantments gain ''4, Sacrifice a permanent: all permanents gain protection from green until end of turn'' until end of turn","--His hope walls off a single magic and harms better than even the fan
– Anonymous I",,,,,
Aw Shoot,4B,Sorcery,"
~this~ deals 4 damage to target player",,,,,,
Strawman Felon,WU,Creature - Human Scout (1/2),"
When ~this~ is put into a graveyard from the battlefield, target opponent may pay 1UU. If that player doesn't, counter target spell
Whenever ~this~ is put into a graveyard from the battlefield, until end of turn, if you would be dealt damage, instead return target permanent you control to its owner's hand
At the beginning of each opponent's upkeep, until end of turn, if ~this~ would be dealt damage, instead ~this~ gains shroud until end of turn
3: each player may search his or her library for up to four land cards and put them into the battlefield. Each player who searched his or her library this way shuffles it.","--His title collapses the whispered straw
– Plenithias Shachieth, Lord of the City",,,,,
Turn to Living Sands,2GGG,Enchantment,"
2, Discard a card: put a warp counter on target creature
T: Permanents with a warp counter on them are Plains lands in addition to its other types until end of turn",,,,,,
Blossoming Ritual,(G/W),Instant,"
add (G/W)(G/W) to your mana pool. Spend this mana only on spells and activated abilities.",,,,,,
Treetop Ambush,G,Instant,"
You get one poison counter, then put a 1/1 green Snake creature token onto the battlefield for each poison counter you have.","--Humanity proves better than the fastest twig
Yet her word proves better than the aspirational room
– Nursery Rhyme (Trad.)",,,,,
Double Edged Sword,1GB,Artifact - Equipment,"
Equip 3
Whenever equipped creature deals damage to a creature, up to three target artifact creatures get +2/+2 until end of turn
All attacking or blocking creatures get +3/+0
At the beginning of your end step, target opponent may pay 1. If that player does, flip ~this~.
Discard a instant card: target player loses 1 life
","--The best sofa made of iron sprints
– Foucault, the great",kami,Perfume of Foretelling,,Legendary Artifact - Equipment,"Whenever you are dealt damage, ~this~ deals 4 damage to each creature 
1, T: up to three target attacking creatures get +1/+1 until end of turn"
Foodpoison Maid,2U,Creature - Human Wizard (3/2),"
1UU: the next time ~this~ would deal damage to a creature this turn, you may pay 1U. If you do, instead that creature gets -2/-0 until end of turn
UUU, Discard a card: copy target Generated spell and you may choose new targets for the copy","--A single daughter rallies the fastest dress yet educates faster than the confused breakfast
– Nephikitty IV",,,,,
Make it Fit,U,Sorcery,"
Affinity for nonlegendary multicoloured enchantments
change the text of target spell or permanent by replacing all instances of one creature type with another. (This effect doesn't end at end of turn.)","--A single patch competes more effectively than the baseball will
– Gleli, Ice Shaman, Head Officer of the Cult of the Unholy River",,,,,
Burning Rejuvenation,G,Instant,"
regenerate target red creature",,,,,,
Protective Surfacetension,WU,Enchantment,"
All Merfolk have ''shroud''
Whenever you draw a card, gain control of target black enchantment until end of turn (it stays attached to it's creature if it's an aura)
2U: return target permanent you control to its owner's hand",,,,,,
Lands Blessing,GW,Enchantment - Aura,"
Enchant land
Whenever a permanent is returned to its owner's hand, put a warp counter on ~this~. If ~this~ has three or more warp counters on it, flip it.
When ~this~ enters the battlefield, any number of target white creatures get +1/+1 until end of turn
",,kami,Hungry Foreteller,,Legendary Enchantment - Aura,"Enchant land 
Whenever enchanted land is tapped for mana, any number of target creatures get +2/+1 until end of turn 
Whenever a creature regenerates, draw three cards, then discard two cards"
Befiddle,1U,Instant - Generated,"
target creature with power 2 or more gets -4/-0 until end of turn",,,,,,
N'Op'd,1U,Instant,"
draw a card",,,,,,
"Asonuna, the Conqueror",1WWW,Planeswalker - Asonuna (Loyalty 2),"
+1: clash with an opponent. If you win, destroy up to one target enchantment or artifact
-3: attach target Aura to target artifact creature. Gain control of that Aura until end of turn and that creature gets +4/+2 until end of turn
-6: each player may search his or her library for up to four land cards and put them into hand. Each player who searched his or her library this way shuffles it.",,,,,,
Onesh Rihosesha,2B,Planeswalker - Onesh (Loyalty 3),"
+2: put a +1/+1 counter on up to one creature
-3: ~this~ deals 4 damage to each player
-7: up to X target permanents gain ''Tap an untapped permanent you control: draw four cards'' until end of turn, where X is the number of poison counters you have","--The hugest plantation may ground
– Nursery Rhyme (Trad.)",,,,,
Cleanse from Metal,G,Sorcery - Generated,"
destroy all artifacts",,,,,,
Goblin Reinforcement ,2R,Instant,"
put a 1/1 red Goblin creature token onto the battlefield",,,,,,
Waste,1B,Enchantment,"
you may cast Generated spells by paying ''Discard a instant card'' rather than paying their mana cost
When ~this~ enters the battlefield, destroy all creatures. They can't be regenerated.
At the beginning of your end step, target opponent may Sacrifice a Forest. If that player doesn't, all red creatures can't be blocked except by creatures until end of turn
",,double,Wastewater Guide,3UU,Creature - Bird (1/3),"Flying 
T, Sacrifice a Bird: two target creatures with power 3 can't be blocked except by Merfolk until end of turn All black permanents can't be the target of activated abilities ~this~ enters the battlefield with two +1/+1 counters on it 
Discard a artifact card, remove four +1/+1 counters from ~this~: target opponent reveals cards from the top of his or her library until that player reveals a instant card, puts that card into hand, and exiles the rest."
Servant of Hapatra,3,Creature - Elf Druid (2/3),"
Whenever ~this~ deals combat damage to a creature, clash with an opponent. If you win, an opponent gets 1 poison counter
If ~this~ would deal damage to a player, an opponent may pay 3 life. If that player doesn't, instead put a - 1/-1 counter on up to one target creature. ","-- When angered, A corn admires more beautifully than even the bun
Although her plane adds more than the confused rock
– Ealeash, Wise Knight, Initiate Warmaster of the Order of the Silent Grove",,,,,
Treasured plains,,Land,"
Tap an untapped permanent you control, Discard a card, T: add 2WW to your mana pool
When ~this~ enters the battlefield, each player gains 4 life",,,,,,
Teramorphic Wastes,,Land,"
~this~ enters the battlefield tapped.
T: add 1 to your mana pool
Morph 1",,,,,,
Hinderfolk Scouter,U,Creature - Moonfolk Scout (1/3),"
Flying
At the beginning of your end step, untap target tapped red creature and gain control of it until end of turn. It gains haste until end of turn.
3: copy target activated ability and you may choose new targets for the copy
Sacrifice a Swamp: two target white creatures get -2/-0 until end of turn","--only the grandest universe behaves bigger than the vase
– Traditional",,,,,
Generic Bounce,1,Sorcery,"
return target permanent to its owner's hand",,,,,,
Mighty Buckettwist,2W,Tribal Sorcery - Generated Spirit,"
untap two target white enchantments","--The mightiest bucket twists a single swing but may catch even the most awesome dust
– Traditional (not the Urza's Saga one)",,,,,
Circle of Visions,RRG,Enchantment,"
Sacrifice ~this~: copy target activated ability and you may choose new targets for the copy
R: up to two target creatures with total power and toughness 5 gain haste until end of turn","--only the fastest jellyfish pauses a single eye and adds more destructively than even the fiercest railway
– Pechuath the Open",,,,,
Destructive Search,(U/B)(U/B),Sorcery,"
target player reveals cards from the top of his or her library until that player reveals a instant or sorcery card, puts that card into hand, and exiles the rest.
Draw a card.",,,,,,
Work it,1RR,Sorcery,"
two target creatures with power 2 or more get +3/-3 until end of turn
","--Even one cat transcends even the most stalwart vase
– Sieseach, Monk Druid, Novice Whip of the Ruby Fell",double,Avoid it,2W,Instant,two target permanents gain protection from black (This effect doesn't end)
Streamwood guide,1GGGGG,Creature - Elf Druid (2/1),"
your opponents may cast Generated spells by paying ''Pay 4 life'' rather than paying their mana cost
~this~ enters the battlefield with six +1/+1 counters on it
Discard a card, remove four +1/+1 counters from ~this~: untap target blue permanent
Remove a +1/+1 counter from ~this~, T: you may search your library for a land card, reveal it, and put it onto the battlefield under your control. If you do, you shuffle that library afterwards.","-- When provoked, Every best crow flees
– Ovaish, Prophet of the Temple",,,,,
Rules for thee and me,BB,Enchantment,"
black creature spells cost all players 1 more to cast","--Even one daughter judges more impressively than the name
Albeit a single beetle decays more effectively than the most stalwart cast
– Yawden",,,,,
Artificiers teachings,2G,Sorcery,"
Choose one: target white creature gets +3/+3 until end of turn; or any number of target nongreen creatures gain T: add G to your mana pool until end of turn; or target colourless creature gets +3/+3 until end of turn","--Even the father kills just one face
– Lusk Aubagee, Keen Prophet",,,,,
Scrapyards Charm,GWU,Artifact,"
2BRG(B/R)(B/R): put a 4/2 Golem artifact creature token onto the battlefield
Sacrifice ~this~: put a 4/4 Golem artifact creature token onto the battlefield
Sacrifice six Golems: two target creatures with both power and toughness X or less, where X is the number of poison counters you have get +1/+1 until end of turn
All unblocked creatures get -1/+1","-- When provoked, Her warcry surprises the confused bedroom
– Traditional",,,,,
Suck dry,2BB,Sorcery,"
an opponent loses 4 life and you gain that much life","--Every summer can sing
– Traditional",,,,,
Grease the floor,2WW,Instant,"
~this~ deals 6 damage to target attacking or blocking creature",,,,,,
Operation Artifacttribal,UUU,Enchantment,"
Discard a card: put a 1/1 blue Bird creature token with flying onto the battlefield for each artifact spell with converted mana cost 3 or less cast this turn
Sacrifice two Birds: destroy target creature. It can't be regenerated.
Sacrifice ~this~, sacrifice two Birds: untap target artifact","-- When angered, His toad sings the beggar but embiggens the fireman
For humanity boasts better than the hugest tub
– Oatheebeeth Fer the Renowned",,,,,
Woodlore Seeker,2GG,Creature - Elf Druid (3/3),"
T: draw a card, then discard two cards
Whenever ~this~ deals combat damage to a creature, target player reveals cards from the top of his or her library until that player reveals a card, puts that card into hand, and exiles the rest.
~this~ can't be the target of spells","-- When angered, Nature kills louder than even the best clover
– Lord Windgrace, the evil",,,,,
Poisontip Apparition,3B,Creature - Spirit (2/1),"
B: ~this~ gains ''deathtouch'' until end of turn",,,,,,
Bloodsucker Widow,4G,Creature - Spider (2/1),"
Reach
Whenever ~this~ attacks, you gain 1 life.
Whenever you gain life, put a -1/-1 counter on target creature with toughness X or more, where X is the number of cards in an opponent's hand",,,,,,
Circle of Protection: Trickery,G,Enchantment,"
All permanents an opponent controls can't be the target of activated abilities
When ~this~ leaves the battlefield, search your library for a land card and put it into the battlefield, then shuffle your library",,,,,,
Golem Factory,1RRRR,Tribal Artifact - Gnome,"
Discard a card: put a 1/1 Golem artifact creature token onto the battlefield
3RR: put a 1/1 Golem artifact creature token onto the battlefield
T, sacrifice any number of Golems: distribute that many +1/+1 counters on target blocking colourless creature
spells cost your opponents up to 3 less to cast",,,,,,
Hol up,2WW,Sorcery - Generated,"
tap target permanent an opponent controls
",,double,Slow down,UB,Sorcery,target artifact creature gets -4/-0 until end of turn
Good enough Onedrop,U,Artifact Creature - Golem Wizard (2/2),"(The rules text for this card was so bad we had to remove it, sorry.)",,,,,,
The Birds and the Butters,B,Instant,"
You and target opponent both reveal cards from the top of his or her library until those players reveal a card, put that card into hand, and shuffle the rest into his or her library.","--Nature fetches louder than even the fiercest butter would
Yet her bird proves better than the family
– Traditional",,,,,
Leyline Ritual,0,Sorcery - Generated,"
As an additional cost to cast this spell, discard a card.
Untap target land",,,,,,
Guildless Ghoulbeast,4,Creature - Zombie Beast (2/1),"
When ~this~ leaves the battlefield, target creature gains protection from white until end of turn","--Even the best clover gazes faster than even the hugest heart never
Though humanity behaves more than even the fiercest children
– The Internet",,,,,
Forerunner of the Forgotten God,2WW,Creature - Spirit (2/1),"
At the beginning of your endstep, if you control one or more multicoloured creatures, flip ~this~.
3W, Sacrifice a Island: tap target permanent
",,kami,"Kiast, Old Gods Represent",,Legendary Creature - Spirit (3/3),"spells and activated abilities that aren't mana abilities cost all players an additional ''Discard a card'' to cast / activate. 
5WW: put a 1/1 black Cleric creature token onto the battlefield (Yes, you need to discard an additional card) 
3, Discard a artifact card: you may search your library for a Aura card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards.(Also, discard an additional card.)"
Ammunition Hawk,W,Creature - Bird Cleric (0/1),"
Flying
At the beginning of your upkeep, creatures with power 2 or less get +1/+1 (this boosts opponents creatures, too)",,,,,,
Conquerors First Lieutnant,1R,Creature - Goblin Samurai (1/2),"
bushido 1
Discard a card, Sacrifice ~this~: ~this~ deals 2 damage to target player. This damage can't be prevented
Whenever ~this~ enters the battlefield, exchange control of target land you control and target permanent of the same type target opponent controls","--Humanity fails more effectively than the best hair
– Unattributed",,,,,
Junkfisher Apostle,GWU,Creature - Spirit (2/2),"
4: you may search your library for a artifact card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards.
Sacrifice ~this~, Tap an untapped Cleric you control: ~this~ deals 1 damage to target attacking or blocking creature
1W: attach target Equipment to target Bird. Gain control of that Equipment until end of turn",,,,,,
Ghost of Tax Collection,BR,Creature - Spirit (2/1),"
When ~this~ enters the battlefield, target Spirit you control gets -1/-1 until end of turn
T: target player gets a poison counter","--Just one lawyer influences faster than even the bravest throne would
– 2ear, Cruel Druid, Head Prophet of the Empty Deep",,,,,
Beastkin Mageapprentice,1U,Creature - Merfolk Wizard (3/1),"
Whenever ~this~ regenerates, ~this~ gains ''All creatures have base power and toughness 3/3'' until end of turn
5GG: put a 3/3 green Beast creature tokens onto the battlefield
Discard a artifact card, sacrifice a Beast: counter target spell or ability",,,,,,
Switchabea,R,Instant,"
You and target opponent each untap and gain control of target Beast the other controls until end of turn.",,,,,,
Triggers Constellation I guess,U,Enchantment,"
When ~this~ is put into a graveyard from the battlefield, return target permanent to its owner's hand",,,,,,
"Stop it, get some help",2GG,Artifact,"
All creatures with flying can't be blocked except by creatures with power 3
When ~this~ is put into a graveyard from the battlefield, target opponent may pay 2. If that player doesn't, attach target Equipment to target creature with kicker. (Control of that Equipment doesn't change.)
W: all enchantments gain ''Pay 4 life: ~this~ is a Mountain land in addition to its other types until end of turn'' until end of turn",,,,,,
Paintjob,W,Instant,"
target creature is white until end of turn","--Humanity decays far hotter than the mightiest parent could
– Liliana Vess (questionable)",,,,,
Goosehunter,4G,Creature - Human Warrior (2/2),"
Whenever you gain life, put a warp counter on target permanent
Each permanent with a warp counter on it gains ''Pay 4 life: untap target Plains''
T: destroy target Cleric creature. It can't be regenerated.
If ~this~ would deal combat damage to a player, prevent 4 of that damage","--The show made of dreams is mightier than the most beautiful goose
– Oshia Harsheye",,,,,
Faekin Wingman,1UUUUU,Creature - Bird Rogue (2/1),"
Flying
Sacrifice a noncreature permanent: put a 1/1 blue Faerie creature token with flying onto the battlefield
Sacrifice a Plains, sacrifice any number of Faeries: ~this~ deals that much damage to each attacking or blocking creature",,,,,,
Wirewoods,,Artifact Land,"
T: add G to your mana pool",,,,,,
Manarite Treefolk,WUBRG,Creature - Treefolk Druid (6/5),"
When ~this~ enters the battlefield, add three mana of any one colour to your mana pool. Spend this mana only on activated abilities.
reach","--Even one wood made of solid branches greater than even the volcano could
– Parcher I",,,,,
Goblin Grenadeer,2R,Creature - Goblin Warrior (1/2),"
Whenever ~this~ deals combat damage to a creature, ~this~ deals 3 damage to target creature or player",,,,,,
Raystrike,WUBRG,Instant,"
~this~ deals 7 damage to each of two target creatures",,,,,,
Reap and Sow,2B,Enchantment,"
At the beginning of each player's upkeep, put a warp counter on ~this~
Tap ~this~ and another untapped permanent you control, remove a warp counter from ~this~ for each card in your graveyard: add 3GG to your mana pool
",,,,,,
Strike Fear,2B,Instant,"
Buyback B
target creature with power 3 or less can't block until end of turn
",,double,Create Wisdom,UBR,Instant,"target player reveals the top two cards of his or her library. that player puts all cards from among them into hand, and exiles the rest."
Druids Vow,1GG,Sorcery,"
Choose one: target Shaman gets a +1/+1 counter for each nonland permanent an opponent controls; or search your library for a Island card and put it into hand, then shuffle your library",--Wow,,,,,
